capture_ts,slot,auditor_id,drop_point_id,platform,account_state,subscription_active,restaurant_name,restaurant_listed,restaurant_open,basket_id,item_list,item_match_quality,menu_subtotal,packaging_fee,platform_fee,delivery_fee,small_cart_fee,surge_rain_fee,taxes_gst,discount_amount,discount_type,final_payable,eta_min_shown,eta_max_shown,screenshot_file,notes
20:45,wed_dinner,A,DP2,swiggy,existing,y,Pizza Hut,y,y,B3,3in1 Triple Spice Pizza Veg Per,,279,0,0,47,0,0,58.18,0,none,384.18,25,30,,
19:45,wed_dinner,A,DP1,zomato,existing,y,Pizza Hut,y,y,B2,3in1 Triple Spice Pizza Veg Per,,279,25,14.99,85,0,0,33.2,0,,437.19,30,35,DP1_wed_dinner_zomato_R10.png,groupC
,thu_lunch,B,DP1,ownly,new,NA,Paradise Biryani,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R1.png,groupA
,thu_lunch,B,DP1,swiggy,existing,y,Paradise Biryani,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R1.png,groupA
,thu_lunch,B,DP1,zomato,existing,y,Paradise Biryani,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R1.png,groupA
,thu_lunch,B,DP1,ownly,new,NA,Bawarchi,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R2.png,groupA
,thu_lunch,B,DP1,swiggy,existing,y,Bawarchi,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R2.png,groupA
,thu_lunch,B,DP1,zomato,existing,y,Bawarchi,y,,B1,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R2.png,groupA
,thu_lunch,B,DP1,ownly,new,NA,Cream Stone,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_ownly_R3.png,groupA
,thu_lunch,B,DP1,swiggy,existing,y,Cream Stone,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_swiggy_R3.png,groupA
,thu_lunch,B,DP1,zomato,existing,y,Cream Stone,y,,B2,,,,,,,,,,,,,,,DP1_thu_lunch_zomato_R3.png,groupA
